        mu Profit Gain EqOnPath     IR    IC Punishment Length
 [1,] 0.50       0.856    0.331 -0.095 0.906             6.170
 [2,] 0.45       0.860    0.371 -0.099 0.912             6.063
 [3,] 0.40       0.859    0.405 -0.102 0.914             5.954
 [4,] 0.35       0.853    0.414 -0.108 0.912             5.944
 [5,] 0.30       0.859    0.433 -0.118 0.919             5.804
 [6,] 0.25       0.849    0.505 -0.127 0.936             5.705
 [7,] 0.20       0.839    0.532 -0.139 0.918             5.562
 [8,] 0.15       0.835    0.582 -0.157 0.911             5.449
 [9,] 0.10       0.829    0.660 -0.171 0.897             5.465
[10,] 0.05       0.827    0.694 -0.201 0.919             5.677
[11,] 0.01       0.805    0.654 -0.220 0.875             5.560
[12,] 0.00       0.774    0.631 -0.214 0.879             5.484
